item_no,category,main_promotion,color,stars
739157,Tunic,Catalog,Green,3.1
591846,Hoodie,Category_Highlight,Red,1.5
337574,Sweatshirt,Catalog,Red,4.4
401933,Polo-Shirt,Category_Highlight,Blue,3.1
812151,Hoodie,Category_Highlight,Green,4.1
200284,Hoodie,Display_Ad_Campaign,Yellow,3.9
974264,Sweatshirt,Catalog,Red,1.4
389059,Sweatshirt,Category_Highlight,Red,1.8
413025,T-Shirt,Catalog,Black,3.2
615692,Hoodie,Category_Highlight,White,5.0,top
306437,Sweatshirt,Category_Highlight,Multi-Color,1.8
405726,Hoodie,Category_Highlight,White,5.5
448384,Polo-Shirt,Catalog,Green,2.5
982680,Tunic,Display_Ad_Campaign,Black,2.5
114525,Sweatshirt,Display_Ad_Campaign,Blue,3.4
852559,Polo-Shirt,Frontpage_Header,Brown,2.7
190535,Sweatshirt,Catalog,Red,1.7
580005,Tunic,Frontpage_Header,Multi-Color,3.2
854997,Polo-Shirt,Frontpage_Header,Brown,2.8
472120,T-Shirt,Category_Highlight,Brown,4.8
159368,T-Shirt,Display_Ad_Campaign,Black,4.
729764,T-Shirt,Frontpage_Header,Black,4.5
580235,Polo-Shirt,Catalog,Multi-Color,2.8
464802,T-Shirt,Category_Highlight,Green,4.5
611317,Polo-Shirt,Frontpage_Header,White,3.1
803370,Sweatshirt,Frontpage_Header,Pink,3.4
727480,Tunic,Category_Highlight,Orange,2.8
212634,Sweatshirt,Category_Highlight,Multi-Color,1.3
502354,Blouse,Frontpage_Header,Multi-Color,2.6
862525,Blouse,Frontpage_Header,Black,3.6
656569,Tunic,Category_Highlight,Blue,5.0
900833,Sweatshirt,Display_Ad_Campaign,Black,4.9

